cord_uid_a,cord_uid_b,similarity,title_a,title_b
tatzkeni,pez6to2e,0.016046392,"Market prices, analysts' predictions, and Covid19",Infektionsschutz: Wenn gegen Regeln verstoßen wird
ikp2z39k,atva6mfp,0.016057208,Variable importance scores,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
p81l6zvz,l705no5s,0.016075196,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Academic Coaching of Medical Students During COVID-19
lvi4n41u,xoywbqqr,0.016082715,Pflegen kann jede*r!,"Undertaking a scoping review: A practical guide for nursing and midwifery students, clinicians, researchers, and academics."
aeic8ex5,s9qlcamb,0.016082775,Love and emotions at the time of COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
riuc8vl2,fxrsgieg,0.016114809,Do national cultures matter in the containment of COVID-19?,COVID-19: Was Rheumapatienten jetzt wissen sollten
8sfww8lr,fxrsgieg,0.016122237,The impact and contribution of family in the care of hospitalized patients,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,o6y7tpod,0.016135426,Pflegen kann jede*r!,Thank You Note to all our 2021 Reviewers
fxrsgieg,4guz2qg4,0.016155792,COVID-19: Was Rheumapatienten jetzt wissen sollten,Childcare services in cities: challenges and emerging solutions for women informal workers and their children
e1ztoqwd,atva6mfp,0.016183563,Infectious Agents as Potential Drivers of α-Synucleinopathies.,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
d0kah7rr,s9qlcamb,0.016188491,"RipetaScore: Measuring the Quality, Transparency, and Trustworthiness of a Scientific Work",Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
p81l6zvz,7j1l9uxj,0.016199986,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,"COVID-19 vaccine development: milestones, lessons and prospects"
xlj31f71,79hf1x4j,0.016207924,The Major Macroeconomic Trends,Sind durch COVID-19 (mehr) Patienten mit Hörverlust zu erwarten?
7rsv9lwd,fxrsgieg,0.016212128,Highlights of genetic programming 2020 events,COVID-19: Was Rheumapatienten jetzt wissen sollten
6mc4zg7g,xijh0s4t,0.016220978,Viele Sonderregelungen gelten weiter,Risk factor analysis of COVID-19
lmnwn6jf,s9qlcamb,0.016238546,Business meetings in a postpandemic world: When and how to meet virtually,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
atva6mfp,ndzft9az,0.016263273,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur,Hematological parameters- as mortality predictors in COVID-19 patients
rdg40cgn,fxrsgieg,0.016265772,Tumor microenvironment complexity and therapeutic implications at a glance,COVID-19: Was Rheumapatienten jetzt wissen sollten
1j5z5g00,e69c9wyw,0.016275704,Individual risk evaluation for landslides: key details,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
lvi4n41u,jgwn5o7g,0.016278418,Pflegen kann jede*r!,Defending access to medicines in regional trade agreements: lessons from the Regional Comprehensive Economic Partnership – a qualitative study of policy actors’ views
lvi4n41u,z08v4eew,0.016285935,Pflegen kann jede*r!,Key factors driving customers’ restaurant dining behavior during the COVID-19 pandemic
lvi4n41u,6ct4swpm,0.016289273,Pflegen kann jede*r!,Time to rethink our lives and businesses
lvi4n41u,31mjhjnz,0.016322397,Pflegen kann jede*r!,"Women in specialty training: Challenges, decisions, or opportunities?"
82ynrqzv,fxrsgieg,0.016363604,Small-molecule antiviral agents in ongoing clinical trials for COVID-19.,COVID-19: Was Rheumapatienten jetzt wissen sollten
ce0m86b6,fxrsgieg,0.016377276,Infection Control Programs for Dogs and Cats,COVID-19: Was Rheumapatienten jetzt wissen sollten
e69c9wyw,9zhyv1hu,0.016384017,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten,Considerations for Public Beaches
s9qlcamb,duh6ma32,0.016387276,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Underestimation of the COVID-19 burden - interpreting the puzzling numbers
lvi4n41u,gv303ny2,0.016396724,Pflegen kann jede*r!,Education for all in times of crisis: Lessons from covid-19
86esyb9q,ewl63b2i,0.016408503,Erfolge feiern - Zukunft gestalten,Manufacturing Workers and Employers
5f5wsy4b,lvi4n41u,0.016439773,Modeling Residential Electricity Consumption from Public Demographic Data for Sustainable Cities,Pflegen kann jede*r!
o5sqowli,s9qlcamb,0.016441597,Influence Across Agents and Issues in Combinatorial and Collective Decision-Making,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
fxrsgieg,wvd7mvf9,0.016445708,COVID-19: Was Rheumapatienten jetzt wissen sollten,Ecological origins of novel human pathogens.
zyv44piv,fxrsgieg,0.016472552,COVID-19: Impact on Nurses and Nursing,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,lrs1lbxn,0.016483678,COVID-19: Was Rheumapatienten jetzt wissen sollten,Retinal vascular findings in patients with COVID-19
26phzm5d,fxrsgieg,0.016487313,Recommendations on Inpatient Treatment of Patients with COVID-19.,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,k5eyg51b,0.016490232,COVID-19: Was Rheumapatienten jetzt wissen sollten,Aerosols should not be defined by distance travelled
d7rlj43k,c2io6utd,0.01650387,Einladung zu einer Hybrid-Veranstaltung 2022,Employment Consequences of COVID-19 for People with Disabilities and Employers
lvi4n41u,ut2uibod,0.016511844,Pflegen kann jede*r!,BIALL Covid-19 ‘State of the Nation’ Survey 2021: an Introduction
33dqqjeu,ewl63b2i,0.016520996,Nomogramm zur Risikostratifizierung von COVID-19-Patienten mit interstitieller Pneumonie in der Notaufnahme: Eine retrospektive multizentrische Studie,Manufacturing Workers and Employers
fxrsgieg,7n0skdsy,0.016523698,COVID-19: Was Rheumapatienten jetzt wissen sollten,Challenges in elucidating cholangiocarcinoma etiology.
lvi4n41u,y7k729ir,0.016530056,Pflegen kann jede*r!,Impact of Novel Covid-19 on Various Sectors: A Study
8yfb2fr0,fxrsgieg,0.016531028,Mental Health and Related Factors of Hospital Nurses.,COVID-19: Was Rheumapatienten jetzt wissen sollten
tiaoim6i,s9qlcamb,0.016540645,A look back with a hopeful tomorrow,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
pqy4fvcf,s9qlcamb,0.016553555,Intersecting marginalities: International students’ struggles for ‘survival’ in COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
yygb0p74,fxrsgieg,0.016585246,"eurological Disorders in Hospitalized Patients with Covid-19: Clinical Symptoms, Treatment and Rehabilitation",COVID-19: Was Rheumapatienten jetzt wissen sollten
juvu9lyl,fxrsgieg,0.01661478,"Examining relationships between COVID-19 destination practices, value, satisfaction and behavioral intentions for tourists' outdoor recreation trips",COVID-19: Was Rheumapatienten jetzt wissen sollten
f891y322,lvi4n41u,0.016643833,Protecting research data of publicly revealing participants,Pflegen kann jede*r!
4tms03ev,fxrsgieg,0.016657863,Vaccinating our children against COVID-19,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,spm5esfk,0.016673278,Pflegen kann jede*r!,"Biosecurity at Cattle Farms: Strengths, Weaknesses, Opportunities and Threats"
bllpnbpq,s9qlcamb,0.016678214,The evolving responsibility of museum work in the time of climate change,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
p81l6zvz,pesvr65u,0.016700847,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Implications of the 2020 Election for U.S. Health Policy
lvi4n41u,1ct157ze,0.016702406,Pflegen kann jede*r!,"All in, all together? Government subsidy for news"
z2ulnfop,l6754c29,0.016709402,Fakten auf einen Blick,Features of α‐HBDH in COVID‐19 patients: A cohort study
z2ulnfop,az2pgmkj,0.016709402,Fakten auf einen Blick,Features of α-HBDH in COVID-19 patients: A cohort study
uzil6xlw,fxrsgieg,0.016722612,Competence of anesthesiology residents following a longitudinal point-of-care ultrasound curriculum,COVID-19: Was Rheumapatienten jetzt wissen sollten
67wgu2du,fxrsgieg,0.0167232,Hantavirus infection of dendritic cells.,COVID-19: Was Rheumapatienten jetzt wissen sollten
2a2475id,s9qlcamb,0.016724411,Literature in the time of COVID-19: The “phase two”,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
bxsrltbm,s9qlcamb,0.016724411,"Literature in the time of COVID-19: The ""phase two""",Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
3qxqvmon,8rkemm72,0.01673143,Współzależność przemysłu 4.0 z gospodarką o obiegu zamkniętym: w poszukiwaniu wspólnego obszaru definicyjnego,Mind the gap versus filling the gap. The heart beyond specialties
gbmzbhvi,fxrsgieg,0.01673535,Advocacy for School Nurses and Student Health and Safety: Highlighting National and State Efforts,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,uaa98ry3,0.016741844,Pflegen kann jede*r!,Researching Healthcare Availability for Probation Clients: An Illustration of Methodological Challenges and Lessons in Surveying Organisations.
qx4mv8qc,s9qlcamb,0.016745435,Future of Education or Present Reality?,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
c3fvu8mn,s9qlcamb,0.01676602,Newborns at risk of Covid-19 - lessons from the last year,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
s9qlcamb,qfpr955r,0.01676602,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Newborns at risk of Covid-19 - lessons from the last year.
86esyb9q,mherdb4v,0.016780077,Erfolge feiern - Zukunft gestalten,Lessons for and from COVID‐19 for investors and their advisors
i9wi1hrm,fxrsgieg,0.016799405,Face Masks and Bacterial Dispersion Towards the Periocular Area,COVID-19: Was Rheumapatienten jetzt wissen sollten
3zhrz08m,e69c9wyw,0.016801996,Natural Virucidal Compounds in Foods,Nutzen von Erfahrungswissen in Krisen. Zur These einer vermehrten Bezugnahme auf Geschichte in Krisenzeiten
lvi4n41u,bk8o1v4l,0.016808104,Pflegen kann jede*r!,Perspectives: Envisioning healthcare quality and safety in 2030.
lvi4n41u,45h2k86r,0.016813256,Pflegen kann jede*r!,"Covid-19, Financial Risk and the Airline Industry"
z2ulnfop,zbajalq2,0.016821813,Fakten auf einen Blick,Neurological manifestations as prognostic factors in COVID-19: a retrospective cohort study
3du9hec1,z2ulnfop,0.016824163,Key factors in the contingency plan for COVID-19 during the Magal celebration in 2020,Fakten auf einen Blick
lvi4n41u,693r9rey,0.01683693,Pflegen kann jede*r!,Medical emergencies on commercial airline flights.
urotyal2,s9qlcamb,0.016840603,Drug trials under way,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,2hhy41py,0.016864894,Pflegen kann jede*r!,Trends in Corporate Borrowing
rfg4vq2i,fxrsgieg,0.016880965,Clinical Characteristics Predicting Progression of COVID-19,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,3f52bsix,0.01688351,Pflegen kann jede*r!,Predictors of Satisfaction with Autism Treatment Services During COVID-19
qs7i57hq,fxrsgieg,0.016889364,Comparing the Effects of SPOC and Face-to-Face Courses and Factors Influencing the Effects,COVID-19: Was Rheumapatienten jetzt wissen sollten
akktkosz,s9qlcamb,0.016895447,Identifying and classifying the contributing factors to financial resilience,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
0b3sa0gf,s9qlcamb,0.016905034,Surfactants playing their part,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
e9blztt3,fxrsgieg,0.016932836,Character of hematological parameters change in patients with COVID-19,COVID-19: Was Rheumapatienten jetzt wissen sollten
l6754c29,f8hdn7ry,0.016933486,Features of α‐HBDH in COVID‐19 patients: A cohort study,Auf alles gefasst sein
az2pgmkj,f8hdn7ry,0.016933486,Features of α-HBDH in COVID-19 patients: A cohort study,Auf alles gefasst sein
60y0pplf,fxrsgieg,0.016959593,Ambulatory surgery for cancer patients: current controversies and concerns.,COVID-19: Was Rheumapatienten jetzt wissen sollten
egwo19oc,fxrsgieg,0.016963731,Detection of pathogens in water: from phylochips to qPCR to pyrosequencing,COVID-19: Was Rheumapatienten jetzt wissen sollten
1msri1by,fxrsgieg,0.016974641,Life events and clinical subtypes of major depression: a cross-sectional study.,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,1qk68bsd,0.01699858,Pflegen kann jede*r!,Corporate debt overhang and credit policy
s9qlcamb,llpdmoli,0.017001715,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Is crowd support a significant factor in home advantage on the highest level of competition in football?
y0ipvw9t,fxrsgieg,0.017008644,Small animal models of filovirus disease: recent advances and future directions.,COVID-19: Was Rheumapatienten jetzt wissen sollten
fu6ruwf0,z2ulnfop,0.017013608,Focus on fitness . . . and other stories,Fakten auf einen Blick
ccb3o9c2,fxrsgieg,0.017021904,Report of working group 1: Public health challenges,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,4rnyhlsf,0.017028017,Pflegen kann jede*r!,Nursing education: challenges and perspectives in times of the COVID-19 pandemic.
pkn0w84k,s9qlcamb,0.017058227,Ending the pandemic is not a matter of chance;it's a matter of choice,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
s9qlcamb,e0hpim8m,0.017064918,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Changes we learned to love in the time of COVID.
lvi4n41u,90zpv3zn,0.017071636,Pflegen kann jede*r!,A study on the financial and entrepreneurial risks of small business owners amidst COVID-19
lvi4n41u,rj7egrdj,0.017075764,Pflegen kann jede*r!,"Covid-19 in adults and children, symptoms and treatment"
051payef,lvi4n41u,0.017081682,Fear of COVID-19 among medical students and associated factors,Pflegen kann jede*r!
tosykfsp,fxrsgieg,0.017089516,Neurological complications in critical patients with COVID-19,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,bejcevba,0.017113714,Pflegen kann jede*r!,The History and Future of the Society of Undergraduate Humanities Publications
fxrsgieg,obdaskaa,0.017122107,COVID-19: Was Rheumapatienten jetzt wissen sollten,Obesity and COVID-19 outcomes: a risk factor that needs attention
s9qlcamb,ez2nzxg7,0.017123772,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Why Project HOPE Is Growing Our US Programming
sd26c8zg,fxrsgieg,0.017132059,Infectious Diseases and Patient Care Practices.,COVID-19: Was Rheumapatienten jetzt wissen sollten
jyfw6s6c,fxrsgieg,0.017146196,International Investment and Indigenous Peoples’ Environment: A Survey of ISDS Cases from 2000 to 2020,COVID-19: Was Rheumapatienten jetzt wissen sollten
bjo6hun1,mon8zwhz,0.01714722,Scientists' lanes and headwinds.,Peran Komunikasi Sebagai Mitigasi Stigmatisasi COVID-19
s9bgr6mt,lvi4n41u,0.01714957,Scooting injuries . . . and other stories,Pflegen kann jede*r!
atva6mfp,6p1n9zi3,0.017155448,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur,Experiences of children (ages 6-12) during COVID-19 pandemic from mothers' perspectives
19ypovym,s9qlcamb,0.017157968,The Role of the Company in the Time of Covid-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,rah6s9av,0.01716114,Pflegen kann jede*r!,Chapter 10 - Psychological and social implications of COVID-19
z2ulnfop,feyodvgf,0.017163182,Fakten auf einen Blick,Comparative aspects and aetiology
r3nd3dtt,s9qlcamb,0.017171597,Care home reforms should prioritise quality of life.,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
fl06pd3t,fxrsgieg,0.017172046,COVID-19 in children: current evidence and key questions.,COVID-19: Was Rheumapatienten jetzt wissen sollten
s9qlcamb,9ctkfh3l,0.017178027,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Another busy season for immunisers
ibmj92hp,s9qlcamb,0.017205784,TIME COURSE OF THE DEVELOPMENT OF IMMUNOTHROMBOSIS DURING COVID-19 HOSPITALIZATION,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
91a644hl,fxrsgieg,0.017228983,"Arts and Cultural Engagement, Reportedly Antisocial or Criminalized Behaviors, and Potential Mediators in Two Longitudinal Cohorts of Adolescents",COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,5yhvk28s,0.017230935,Pflegen kann jede*r!,"Ensuring communication access for all during the COVID-19 pandemic and beyond: supporting patients, providers, and caregivers in hospitals."
kpkindb8,s9qlcamb,0.017236877,A Review of Catastrophic Risks for Life Insurers,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,w6vbc2ak,0.017241731,Pflegen kann jede*r!,"COVID-19 in childhood: Transmission, clinical presentation, complications and risk factors"
lvi4n41u,ont6ro0p,0.017249411,Pflegen kann jede*r!,Anesthesiologist and COVID-19 - Current perspective
fxrsgieg,76fccmmx,0.017252963,COVID-19: Was Rheumapatienten jetzt wissen sollten,"P.20 COVID-19 and obstetrics: Comparing the ""Waves"""
3iq2hnoj,fxrsgieg,0.017259346,Physical activity in daily life and clinical characteristics of recovered COVID-19 patients,COVID-19: Was Rheumapatienten jetzt wissen sollten
js84ruve,s9qlcamb,0.01728602,Real-time time-series modelling for prediction of COVID-19 spread and intervention assessment,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,23c0z43b,0.017286532,Pflegen kann jede*r!,Constructive debate: A task for all pharmacy leaders
4edwk9ci,4wcf4z93,0.017287135,Steuerung und Freiheit: Eine Antwort auf Frank Nullmeier,Acknowledgement to Referees: Acknowledgement to Referees
lvi4n41u,clnvda35,0.017287614,Pflegen kann jede*r!,Sustainable impact of COVID-19 on education projects: aspects of naturalism
6wj01icw,fxrsgieg,0.017291557,Risk factors for clinical deterioration in patients admitted for COVID-19: A case-control study,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,ndzft9az,0.017317636,Pflegen kann jede*r!,Hematological parameters- as mortality predictors in COVID-19 patients
uznffmtg,4wcf4z93,0.017324721,1 Zorgvuldig en verantwoord handelen in de basiszorg,Acknowledgement to Referees: Acknowledgement to Referees
lvi4n41u,wxlv7p0y,0.017341329,Pflegen kann jede*r!,A Review of Challenges and Safety Measures in Petroleum Industry During COVID-19
8s6v1c9z,fe82q2o1,0.017366042,Representative Committees of Peers,Pflegedienstleiter in einer besonderen Zeit
lvi4n41u,8753i8h9,0.017380018,Pflegen kann jede*r!,Sprifermin benefits maintained at 5 years
lvi4n41u,fy0i2bwf,0.017386632,Pflegen kann jede*r!,The Baseline Characteristics of Patients with COVID-19 and Impact of Various Risk Factors on the Outcome of Patients Admitted in Tertiary Care Hospital
bg28wxub,fxrsgieg,0.017388636,Races of small molecule clinical trials for the treatment of COVID‐19: An up‐to‐date comprehensive review,COVID-19: Was Rheumapatienten jetzt wissen sollten
e989l9jz,fxrsgieg,0.017393317,Assessing information-sharing networks within small-scale fisheries and the implications for conservation interventions,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,3lrrkopr,0.017403953,Pflegen kann jede*r!,COVID-19 and gastroenterology: clinical insights and recommendations for gastroenterology care providers
k81zymym,s9qlcamb,0.017405761,"What is physiologging? Introduction to the theme issue, part 2.",Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
glsdyfe2,s9qlcamb,0.01741577,Editorial: Doing history in the time of COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
lvi4n41u,yg3yzfnr,0.017419813,Pflegen kann jede*r!,Competition Policy in Post-covid-19 World
s9qlcamb,hh1r786i,0.01742672,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,Changes in the Complexity of Limb Movements during the First Year of Life across Different Tasks
rrkvdh4n,fxrsgieg,0.017435065,The Effect of Distance Teaching Experiences on Educators' Attitudes toward Distance Education for Preschoolers,COVID-19: Was Rheumapatienten jetzt wissen sollten
iwuqh1ou,lvi4n41u,0.017442819,Three-month outcomes in hospitalized COVID-19 patients,Pflegen kann jede*r!
fxrsgieg,zxralurd,0.017445143,COVID-19: Was Rheumapatienten jetzt wissen sollten,Mobilizing Hospitals to Mobilize Patients
lvi4n41u,3ejioz4m,0.017452182,Pflegen kann jede*r!,[Consideration on Academia Environments for Creating Medical Innovation]
lvi4n41u,ir1q7mtt,0.017474081,Pflegen kann jede*r!,Randomized Clinical Trials and COVID-19: Managing Expectations.
k5i15sqz,fxrsgieg,0.01750117,Point-of-care ultrasound in nephrology.,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,x323erqz,0.017516887,Pflegen kann jede*r!,The association of social determinants of health with health outcomes.
lvi4n41u,r52j4fqq,0.01751707,Pflegen kann jede*r!,Filoviruses in Bats: Current Knowledge and Future Directions
x2kjq07a,fxrsgieg,0.017531546,Risk factors of weaning diarrhea in puppies housed in breeding kennels,COVID-19: Was Rheumapatienten jetzt wissen sollten
mherdb4v,blqner0t,0.017534653,Lessons for and from COVID‐19 for investors and their advisors,"""Von einer COVID-19-Booster-Impfung wird jeder profitieren"""
z2ulnfop,jph37bs0,0.017548313,Fakten auf einen Blick,"COVID-19: Risk groups, mechanistic insights and challenges"
fxrsgieg,yn3rkiir,0.017550316,COVID-19: Was Rheumapatienten jetzt wissen sollten,Living with Stargardt disease: insights from patients and their parents.
lvi4n41u,r8zqmgp9,0.017577916,Pflegen kann jede*r!,Teaching Chemistry Labs from a Distance
g37nuhpl,jhzajbxc,0.01759137,Neuroimaging Findings in Patients with COVID-19,Paisaje Después De La Pandemia
fe82q2o1,txgigz0f,0.017607579,Pflegedienstleiter in einer besonderen Zeit,Patients visit to hospitals during covid-19
amoascvu,fxrsgieg,0.01762063,Quarterly picks from the editors,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,yz19dnuk,0.017627886,COVID-19: Was Rheumapatienten jetzt wissen sollten,Developing Nursing Care Guidelines for Patients With COVID-19
sokh2ej5,fxrsgieg,0.01762967,Patterns amidst the turmoil: COVID-19 and cities,COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,iemqi6ou,0.017644342,Pflegen kann jede*r!,Sociodemographic Characteristics and Risk Factors for Childhood Poisoning Reported by Parents at a Tertiary Care Teaching Hospital
5nb5x8c9,s9qlcamb,0.017647443,A Framework for Authentic Ethical Decision Making in the Face of Grand Challenges: A Lonerganian Gradation,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
k0l08i97,fxrsgieg,0.017656738,Expanding the Curriculum in a School of Public Health,COVID-19: Was Rheumapatienten jetzt wissen sollten
u8pjs4iq,atva6mfp,0.017666131,Imaging Findings in Four COVID-19 Patients.,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
7lzanuow,s9qlcamb,0.017667767,Getting molnupiravir to patients in a timely way is likely to be problematic,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
u35l3qno,s9qlcamb,0.017676296,Primary health care for all: lessons from its failure to achieve its goal and COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
s9qlcamb,ahj37jrw,0.0176763,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet,The Road to Value Demands a Smarter Approach to Risk
iovrc9w6,s9qlcamb,0.017691998,Work [experience] from home-Widening participation during COVID-19,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
ixypg9x7,fxrsgieg,0.017692156,Production of valuable compounds by molds and yeasts,COVID-19: Was Rheumapatienten jetzt wissen sollten
282c4a9b,4wcf4z93,0.017695382,Einfluss der Geopolitik auf die Ergebnisse von COVID-19-Patienten,Acknowledgement to Referees: Acknowledgement to Referees
8vkhn43q,4wcf4z93,0.017695382,Der Einfluss von Mindestlohnerhöhungen auf die Einkommensarmut,Acknowledgement to Referees: Acknowledgement to Referees
jhtb0o74,fxrsgieg,0.017707108,"Analysis of clinical characteristics, laboratory findings and therapy for 134 cases of COVID-19: a retrospective analysis",COVID-19: Was Rheumapatienten jetzt wissen sollten
lvi4n41u,34avypib,0.017731084,Pflegen kann jede*r!,Vaccination may not have a significant impact on superspreading events
wpdr99gt,lvi4n41u,0.017741349,Systemic Risk in Financial Networks: A Survey,Pflegen kann jede*r!
fxrsgieg,s6f5k25w,0.017763896,COVID-19: Was Rheumapatienten jetzt wissen sollten,Platelets profile changes in patients with COVID 19
p978n4hu,lvi4n41u,0.017764052,Experiences of interaction between teenage mothers and visiting nurses: a phenomenological study.,Pflegen kann jede*r!
lvi4n41u,r0r5lfhu,0.017769517,Pflegen kann jede*r!,Medical Students' Response to the COVID-19 Pandemic: Experience and Recommendations from Five Countries.
lvi4n41u,fslgvfll,0.017790332,Pflegen kann jede*r!,The family and the state: a public choice perspective
lvi4n41u,g6n5bsjm,0.017798638,Pflegen kann jede*r!,Civility as Public-Mindedness During COVID-19
lvi4n41u,b1fg7jat,0.017837977,Pflegen kann jede*r!,"5.Q. Workshop: Participatory health research with refugees: Voices, experiences, and methodologies"
5keocn1n,fxrsgieg,0.017839156,Patient Safety in Ambulatory Pediatrics,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,sm6f9sv0,0.017842295,COVID-19: Was Rheumapatienten jetzt wissen sollten,Enabling Relationships with Nature in Cities
lvi4n41u,80vnxll6,0.01784537,Pflegen kann jede*r!,A Constructivist Grounded Theory Investigation of Businesses' Concerns About Public-Private Partnership Responses Toward COVID-19
lvi4n41u,o2v7km4d,0.017858375,Pflegen kann jede*r!,Automating the Compilation of Potential Core-Outcomes for Clinical Trials
lvi4n41u,l94e36mn,0.01790248,Pflegen kann jede*r!,Sustainability and Resilience of Emerging Cities in Times of COVID-19
s32pwhrg,fxrsgieg,0.017908208,The ethics of social distance and proximity in the city,COVID-19: Was Rheumapatienten jetzt wissen sollten
fxrsgieg,rxvnn7p5,0.01791197,COVID-19: Was Rheumapatienten jetzt wissen sollten,Sustainability appraisal in infrastructure projects (SUSAIP) Part 1. Development of indicators and computational methods
fxrsgieg,4f2o4kpz,0.017912744,COVID-19: Was Rheumapatienten jetzt wissen sollten,APICURON: a database to credit and acknowledge the work of biocurators
t8he5wu3,s9qlcamb,0.017934784,Challenges and Opportunities in the Post-COVID-19 World,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
xlj31f71,s9qlcamb,0.017945256,The Major Macroeconomic Trends,Finanzielle Hilfen für Vertragsärzte: Weitere KVen haben HVM-Änderungen ausgearbeitet
jyfw6s6c,lvi4n41u,0.017954929,International Investment and Indigenous Peoples’ Environment: A Survey of ISDS Cases from 2000 to 2020,Pflegen kann jede*r!
s6unh19n,atva6mfp,0.017957747,Clinical and laboratory findings of COVID-19,COVID-19-Forschungsdaten leichter zugänglich machen – Aufbau einer bundesweiten Informationsinfrastruktur
